,movie,imdb_id,genre,image_url
0,Ramayana: The Legend of Prince Rama,tt0259534,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0259534&h=600&apikey=7c8ba5e4
1,The Dark Knight,tt0468569,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0468569&h=600&apikey=7c8ba5e4
2,The Lord of the Rings: The Return of the King,tt0167260,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0167260&h=600&apikey=7c8ba5e4
3,Spider-Man: Across the Spider-Verse,tt9362722,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt9362722&h=600&apikey=7c8ba5e4
4,Inception,tt1375666,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt1375666&h=600&apikey=7c8ba5e4
5,The Lord of the Rings: The Fellowship of the Ring,tt0120737,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0120737&h=600&apikey=7c8ba5e4
6,The Lord of the Rings: The Two Towers,tt0167261,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0167261&h=600&apikey=7c8ba5e4
7,Kill Bill: The Whole Bloody Affair,tt6019206,"['Action', ' Crime', ' Thriller']",http://img.omdbapi.com/?i=tt6019206&h=600&apikey=7c8ba5e4
8,The Matrix,tt0133093,"['Action', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0133093&h=600&apikey=7c8ba5e4
9,Star Wars: Episode V - The Empire Strikes Back,tt0080684,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0080684&h=600&apikey=7c8ba5e4
10,The Legend of Maula Jatt,tt4139928,"['Action', ' Drama', ' Fantasy']",http://img.omdbapi.com/?i=tt4139928&h=600&apikey=7c8ba5e4
11,Terminator 2: Judgment Day,tt0103064,"['Action', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0103064&h=600&apikey=7c8ba5e4
12,Star Wars: Episode IV - A New Hope,tt0076759,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0076759&h=600&apikey=7c8ba5e4
13,Gladiator,tt0172495,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0172495&h=600&apikey=7c8ba5e4
14,Léon: The Professional,tt0110413,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0110413&h=600&apikey=7c8ba5e4
15,The Dark Knight Rises,tt1345836,"['Action', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt1345836&h=600&apikey=7c8ba5e4
16,Spider-Man: Into the Spider-Verse,tt4633694,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt4633694&h=600&apikey=7c8ba5e4
17,Raiders of the Lost Ark,tt0082971,"['Action', ' Adventure']",http://img.omdbapi.com/?i=tt0082971&h=600&apikey=7c8ba5e4
18,Avengers: Endgame,tt4154796,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt4154796&h=600&apikey=7c8ba5e4
19,Aliens,tt0090605,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0090605&h=600&apikey=7c8ba5e4
20,Avengers: Infinity War,tt4154756,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt4154756&h=600&apikey=7c8ba5e4
21,Black Friday,tt0400234,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0400234&h=600&apikey=7c8ba5e4
22,Top Gun: Maverick,tt1745960,"['Action', ' Drama']",http://img.omdbapi.com/?i=tt1745960&h=600&apikey=7c8ba5e4
23,Heat,tt0113277,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0113277&h=600&apikey=7c8ba5e4
24,Star Wars: Episode VI - Return of the Jedi,tt0086190,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0086190&h=600&apikey=7c8ba5e4
25,North by Northwest,tt0053125,"['Action', ' Adventure', ' Mystery']",http://img.omdbapi.com/?i=tt0053125&h=600&apikey=7c8ba5e4
26,Dangal,tt5074352,"['Action', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt5074352&h=600&apikey=7c8ba5e4
27,Batman Begins,tt0372784,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0372784&h=600&apikey=7c8ba5e4
28,Spider-Man: No Way Home,tt10872600,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt10872600&h=600&apikey=7c8ba5e4
29,Indiana Jones and the Last Crusade,tt0097576,"['Action', ' Adventure']",http://img.omdbapi.com/?i=tt0097576&h=600&apikey=7c8ba5e4
30,Jurassic Park,tt0107290,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0107290&h=600&apikey=7c8ba5e4
31,1917,tt8579674,"['Action', ' Drama', ' War']",http://img.omdbapi.com/?i=tt8579674&h=600&apikey=7c8ba5e4
32,Kill Bill: Vol. 1,tt0266697,"['Action', ' Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0266697&h=600&apikey=7c8ba5e4
33,Die Hard,tt0095016,"['Action', ' Thriller']",http://img.omdbapi.com/?i=tt0095016&h=600&apikey=7c8ba5e4
34,V for Vendetta,tt0434409,"['Action', ' Drama', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0434409&h=600&apikey=7c8ba5e4
35,K.G.F: Chapter 1,tt7838252,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt7838252&h=600&apikey=7c8ba5e4
36,Sherlock Jr.,tt0015324,"['Action', ' Comedy', ' Romance']",http://img.omdbapi.com/?i=tt0015324&h=600&apikey=7c8ba5e4
37,Guardians of the Galaxy Vol. 3,tt6791350,"['Action', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt6791350&h=600&apikey=7c8ba5e4
38,Mad Max: Fury Road,tt1392190,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt1392190&h=600&apikey=7c8ba5e4
39,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0325980&h=600&apikey=7c8ba5e4
40,Blade Runner,tt0083658,"['Action', ' Drama', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0083658&h=600&apikey=7c8ba5e4
41,The Terminator,tt0088247,"['Action', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0088247&h=600&apikey=7c8ba5e4
42,Ford v Ferrari,tt1950186,"['Action', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt1950186&h=600&apikey=7c8ba5e4
43,Logan,tt3315342,"['Action', ' Drama', ' Sci-Fi']",http://img.omdbapi.com/?i=tt3315342&h=600&apikey=7c8ba5e4
44,Warrior,tt1291584,"['Action', ' Drama', ' Sport']",http://img.omdbapi.com/?i=tt1291584&h=600&apikey=7c8ba5e4
45,Rush,tt1979320,"['Action', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt1979320&h=600&apikey=7c8ba5e4
46,"Lock, Stock and Two Smoking Barrels",tt0120735,"['Action', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0120735&h=600&apikey=7c8ba5e4
47,How to Train Your Dragon,tt0892769,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0892769&h=600&apikey=7c8ba5e4
48,The Iron Giant,tt0129167,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0129167&h=600&apikey=7c8ba5e4
49,White Heat,tt0042041,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0042041&h=600&apikey=7c8ba5e4
50,The General,tt0017925,"['Action', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0017925&h=600&apikey=7c8ba5e4
51,Safety Last!,tt0014429,"['Action', ' Comedy', ' Thriller']",http://img.omdbapi.com/?i=tt0014429&h=600&apikey=7c8ba5e4
52,Mission: Impossible - Dead Reckoning Part One,tt9603212,"['Action', ' Adventure', ' Thriller']",http://img.omdbapi.com/?i=tt9603212&h=600&apikey=7c8ba5e4
53,Dune,tt1160419,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt1160419&h=600&apikey=7c8ba5e4
54,Blade Runner 2049,tt1856101,"['Action', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt1856101&h=600&apikey=7c8ba5e4
55,Guardians of the Galaxy,tt2015381,"['Action', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt2015381&h=600&apikey=7c8ba5e4
56,The Revenant,tt1663202,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt1663202&h=600&apikey=7c8ba5e4
57,Deadpool,tt1431045,"['Action', ' Comedy']",http://img.omdbapi.com/?i=tt1431045&h=600&apikey=7c8ba5e4
58,The Avengers,tt0848228,"['Action', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0848228&h=600&apikey=7c8ba5e4
59,The Incredibles,tt0317705,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0317705&h=600&apikey=7c8ba5e4
60,Casino Royale,tt0381061,"['Action', ' Adventure', ' Thriller']",http://img.omdbapi.com/?i=tt0381061&h=600&apikey=7c8ba5e4
61,Kill Bill: Vol. 2,tt0378194,"['Action', ' Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0378194&h=600&apikey=7c8ba5e4
62,The Bourne Ultimatum,tt0440963,"['Action', ' Mystery', ' Thriller']",http://img.omdbapi.com/?i=tt0440963&h=600&apikey=7c8ba5e4
63,Ip Man,tt1220719,"['Action', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt1220719&h=600&apikey=7c8ba5e4
64,Wolfwalkers,tt5198068,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt5198068&h=600&apikey=7c8ba5e4
65,Infernal Affairs,tt0338564,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0338564&h=600&apikey=7c8ba5e4
66,Elite Squad,tt0861739,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0861739&h=600&apikey=7c8ba5e4
67,Sound of Freedom,tt7599146,"['Action', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt7599146&h=600&apikey=7c8ba5e4
68,Zack Snyder's Justice League,tt12361974,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt12361974&h=600&apikey=7c8ba5e4
69,Avatar,tt0499549,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0499549&h=600&apikey=7c8ba5e4
70,Edge of Tomorrow,tt1631867,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt1631867&h=600&apikey=7c8ba5e4
71,Iron Man,tt0371746,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0371746&h=600&apikey=7c8ba5e4
72,Star Trek,tt0796366,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0796366&h=600&apikey=7c8ba5e4
73,Thor: Ragnarok,tt3501632,"['Action', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt3501632&h=600&apikey=7c8ba5e4
74,The Blues Brothers,tt0080455,"['Action', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0080455&h=600&apikey=7c8ba5e4
75,The Bourne Identity,tt0258463,"['Action', ' Mystery', ' Thriller']",http://img.omdbapi.com/?i=tt0258463&h=600&apikey=7c8ba5e4
76,X-Men: Days of Future Past,tt1877832,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt1877832&h=600&apikey=7c8ba5e4
