,movie,imdb_id,genre,image_url
0,Ramayana: The Legend of Prince Rama,tt0259534,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0259534&h=600&apikey=7c8ba5e4
1,The Lord of the Rings: The Return of the King,tt0167260,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0167260&h=600&apikey=7c8ba5e4
2,Spider-Man: Across the Spider-Verse,tt9362722,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt9362722&h=600&apikey=7c8ba5e4
3,Inception,tt1375666,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt1375666&h=600&apikey=7c8ba5e4
4,The Lord of the Rings: The Fellowship of the Ring,tt0120737,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0120737&h=600&apikey=7c8ba5e4
5,"The Good, the Bad and the Ugly",tt0060196,"['Adventure', ' Western']",http://img.omdbapi.com/?i=tt0060196&h=600&apikey=7c8ba5e4
6,The Lord of the Rings: The Two Towers,tt0167261,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0167261&h=600&apikey=7c8ba5e4
7,Interstellar,tt0816692,"['Adventure', ' Drama', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0816692&h=600&apikey=7c8ba5e4
8,Star Wars: Episode V - The Empire Strikes Back,tt0080684,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0080684&h=600&apikey=7c8ba5e4
9,Star Wars: Episode IV - A New Hope,tt0076759,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0076759&h=600&apikey=7c8ba5e4
10,Back to the Future,tt0088763,"['Adventure', ' Comedy', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0088763&h=600&apikey=7c8ba5e4
11,Gladiator,tt0172495,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0172495&h=600&apikey=7c8ba5e4
12,The Lion King,tt0110357,"['Animation', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0110357&h=600&apikey=7c8ba5e4
13,Spider-Man: Into the Spider-Verse,tt4633694,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt4633694&h=600&apikey=7c8ba5e4
14,Raiders of the Lost Ark,tt0082971,"['Action', ' Adventure']",http://img.omdbapi.com/?i=tt0082971&h=600&apikey=7c8ba5e4
15,Avengers: Endgame,tt4154796,"['Action', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt4154796&h=600&apikey=7c8ba5e4
16,Aliens,tt0090605,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0090605&h=600&apikey=7c8ba5e4
17,Avengers: Infinity War,tt4154756,"['Action', ' Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt4154756&h=600&apikey=7c8ba5e4
18,Coco,tt2380307,"['Animation', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt2380307&h=600&apikey=7c8ba5e4
19,WALL·E,tt0910970,"['Animation', ' Adventure', ' Family']",http://img.omdbapi.com/?i=tt0910970&h=600&apikey=7c8ba5e4
20,Inglourious Basterds,tt0361748,"['Adventure', ' Drama', ' War']",http://img.omdbapi.com/?i=tt0361748&h=600&apikey=7c8ba5e4
21,2001: A Space Odyssey,tt0062622,"['Adventure', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0062622&h=600&apikey=7c8ba5e4
22,Toy Story,tt0114709,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0114709&h=600&apikey=7c8ba5e4
23,Up,tt1049413,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt1049413&h=600&apikey=7c8ba5e4
24,Lawrence of Arabia,tt0056172,"['Adventure', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt0056172&h=600&apikey=7c8ba5e4
25,Toy Story 3,tt0435761,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0435761&h=600&apikey=7c8ba5e4
26,Star Wars: Episode VI - Return of the Jedi,tt0086190,"['Action', ' Adventure', ' Fantasy']",http://img.omdbapi.com/?i=tt0086190&h=600&apikey=7c8ba5e4
