,movie,imdb_id,genre,image_url
0,Ramayana: The Legend of Prince Rama,tt0259534,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0259534&h=600&apikey=7c8ba5e4
1,Spider-Man: Across the Spider-Verse,tt9362722,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt9362722&h=600&apikey=7c8ba5e4
2,The Lion King,tt0110357,"['Animation', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt0110357&h=600&apikey=7c8ba5e4
3,Spider-Man: Into the Spider-Verse,tt4633694,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt4633694&h=600&apikey=7c8ba5e4
4,Coco,tt2380307,"['Animation', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt2380307&h=600&apikey=7c8ba5e4
5,WALL·E,tt0910970,"['Animation', ' Adventure', ' Family']",http://img.omdbapi.com/?i=tt0910970&h=600&apikey=7c8ba5e4
6,Toy Story,tt0114709,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0114709&h=600&apikey=7c8ba5e4
7,Up,tt1049413,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt1049413&h=600&apikey=7c8ba5e4
8,Toy Story 3,tt0435761,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0435761&h=600&apikey=7c8ba5e4
9,Finding Nemo,tt0266543,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0266543&h=600&apikey=7c8ba5e4
10,Klaus,tt4729430,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt4729430&h=600&apikey=7c8ba5e4
11,It's Such a Beautiful Day,tt2396224,"['Animation', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt2396224&h=600&apikey=7c8ba5e4
12,Ratatouille,tt0382932,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0382932&h=600&apikey=7c8ba5e4
13,Inside Out,tt2096673,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt2096673&h=600&apikey=7c8ba5e4
14,"Monsters, Inc.",tt0198781,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0198781&h=600&apikey=7c8ba5e4
15,How to Train Your Dragon,tt0892769,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0892769&h=600&apikey=7c8ba5e4
16,The Iron Giant,tt0129167,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0129167&h=600&apikey=7c8ba5e4
17,Mary and Max,tt0978762,"['Animation', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt0978762&h=600&apikey=7c8ba5e4
18,Zootopia,tt2948356,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt2948356&h=600&apikey=7c8ba5e4
19,The Incredibles,tt0317705,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0317705&h=600&apikey=7c8ba5e4
20,Soul,tt2948372,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt2948372&h=600&apikey=7c8ba5e4
21,Aladdin,tt0103639,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0103639&h=600&apikey=7c8ba5e4
22,Beauty and the Beast,tt0101414,"['Animation', ' Family', ' Fantasy']",http://img.omdbapi.com/?i=tt0101414&h=600&apikey=7c8ba5e4
23,Wolfwalkers,tt5198068,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt5198068&h=600&apikey=7c8ba5e4
24,Song of the Sea,tt1865505,"['Animation', ' Adventure', ' Drama']",http://img.omdbapi.com/?i=tt1865505&h=600&apikey=7c8ba5e4
25,Persepolis,tt0808417,"['Animation', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt0808417&h=600&apikey=7c8ba5e4
26,Puss in Boots: The Last Wish,tt3915174,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt3915174&h=600&apikey=7c8ba5e4
27,Fantastic Mr. Fox,tt0432283,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0432283&h=600&apikey=7c8ba5e4
28,Shrek,tt0126029,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0126029&h=600&apikey=7c8ba5e4
29,Toy Story 2,tt0120363,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0120363&h=600&apikey=7c8ba5e4
30,The Nightmare Before Christmas,tt0107688,"['Animation', ' Family', ' Fantasy']",http://img.omdbapi.com/?i=tt0107688&h=600&apikey=7c8ba5e4
31,Isle of Dogs,tt5104604,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt5104604&h=600&apikey=7c8ba5e4
32,Big Hero 6,tt2245084,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt2245084&h=600&apikey=7c8ba5e4
33,How to Train Your Dragon 2,tt1646971,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt1646971&h=600&apikey=7c8ba5e4
34,Batman: Mask of the Phantasm,tt0106364,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0106364&h=600&apikey=7c8ba5e4
35,Loving Vincent,tt3262342,"['Animation', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt3262342&h=600&apikey=7c8ba5e4
36,Cowboy Bebop: The Movie,tt0275277,"['Animation', ' Action', ' Crime']",http://img.omdbapi.com/?i=tt0275277&h=600&apikey=7c8ba5e4
37,Tokyo Godfathers,tt0388473,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0388473&h=600&apikey=7c8ba5e4
38,Berserk: The Golden Age Arc III - The Advent,tt2358913,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt2358913&h=600&apikey=7c8ba5e4
39,Millennium Actress,tt0291350,"['Animation', ' Drama', ' Fantasy']",http://img.omdbapi.com/?i=tt0291350&h=600&apikey=7c8ba5e4
