,movie,imdb_id,genre,image_url
0,Schindler's List,tt0108052,"['Biography', ' Drama', ' History']",http://img.omdbapi.com/?i=tt0108052&h=600&apikey=7c8ba5e4
1,Oppenheimer,tt15398776,"['Biography', ' Drama', ' History']",http://img.omdbapi.com/?i=tt15398776&h=600&apikey=7c8ba5e4
2,Goodfellas,tt0099685,"['Biography', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0099685&h=600&apikey=7c8ba5e4
3,Rocketry: The Nambi Effect,tt9263550,"['Biography', ' Drama']",http://img.omdbapi.com/?i=tt9263550&h=600&apikey=7c8ba5e4
4,The Pianist,tt0253474,"['Biography', ' Drama', ' Music']",http://img.omdbapi.com/?i=tt0253474&h=600&apikey=7c8ba5e4
5,The Intouchables,tt1675434,"['Biography', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt1675434&h=600&apikey=7c8ba5e4
6,Amadeus,tt0086879,"['Biography', ' Drama', ' Music']",http://img.omdbapi.com/?i=tt0086879&h=600&apikey=7c8ba5e4
7,Sardar Udham,tt10280296,"['Biography', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt10280296&h=600&apikey=7c8ba5e4
8,Braveheart,tt0112573,"['Biography', ' Drama', ' History']",http://img.omdbapi.com/?i=tt0112573&h=600&apikey=7c8ba5e4
9,Hamilton,tt8503618,"['Biography', ' Drama', ' History']",http://img.omdbapi.com/?i=tt8503618&h=600&apikey=7c8ba5e4
10,Lawrence of Arabia,tt0056172,"['Adventure', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt0056172&h=600&apikey=7c8ba5e4
11,Dangal,tt5074352,"['Action', ' Biography', ' Drama']",http://img.omdbapi.com/?i=tt5074352&h=600&apikey=7c8ba5e4
12,Ayla: The Daughter of War,tt6316138,"['Biography', ' Drama', ' History']",http://img.omdbapi.com/?i=tt6316138&h=600&apikey=7c8ba5e4
13,The Wolf of Wall Street,tt0993846,"['Biography', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0993846&h=600&apikey=7c8ba5e4
14,Green Book,tt6966692,"['Biography', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt6966692&h=600&apikey=7c8ba5e4
15,A Beautiful Mind,tt0268978,"['Biography', ' Drama']",http://img.omdbapi.com/?i=tt0268978&h=600&apikey=7c8ba5e4
16,Downfall,tt0363163,"['Biography', ' Drama', ' History']",http://img.omdbapi.com/?i=tt0363163&h=600&apikey=7c8ba5e4
17,The Elephant Man,tt0080678,"['Biography', ' Drama']",http://img.omdbapi.com/?i=tt0080678&h=600&apikey=7c8ba5e4
18,The Lion of the Desert,tt0081059,"['Biography', ' Drama', ' History']",http://img.omdbapi.com/?i=tt0081059&h=600&apikey=7c8ba5e4
19,Pocket Hercules: Naim Süleymanoglu,tt9500372,"['Biography', ' Drama', ' Sport']",http://img.omdbapi.com/?i=tt9500372&h=600&apikey=7c8ba5e4
20,Shahid,tt2181831,"['Biography', ' Drama']",http://img.omdbapi.com/?i=tt2181831&h=600&apikey=7c8ba5e4
