,movie,imdb_id,genre,image_url
0,Life Is Beautiful,tt0118799,"['Comedy', ' Drama', ' Romance']",http://img.omdbapi.com/?i=tt0118799&h=600&apikey=7c8ba5e4
1,"Pretty Village, Pretty Flame",tt0116860,"['Comedy', ' Drama', ' History']",http://img.omdbapi.com/?i=tt0116860&h=600&apikey=7c8ba5e4
2,Back to the Future,tt0088763,"['Adventure', ' Comedy', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0088763&h=600&apikey=7c8ba5e4
3,The Intouchables,tt1675434,"['Biography', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt1675434&h=600&apikey=7c8ba5e4
4,City Lights,tt0021749,"['Comedy', ' Drama', ' Romance']",http://img.omdbapi.com/?i=tt0021749&h=600&apikey=7c8ba5e4
5,Modern Times,tt0027977,"['Comedy', ' Drama', ' Romance']",http://img.omdbapi.com/?i=tt0027977&h=600&apikey=7c8ba5e4
6,Spider-Man: Into the Spider-Verse,tt4633694,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt4633694&h=600&apikey=7c8ba5e4
7,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,"['Comedy', ' War']",http://img.omdbapi.com/?i=tt0057012&h=600&apikey=7c8ba5e4
8,3 Idiots,tt1187043,"['Comedy', ' Drama']",http://img.omdbapi.com/?i=tt1187043&h=600&apikey=7c8ba5e4
9,The Great Dictator,tt0032553,"['Comedy', ' Drama', ' War']",http://img.omdbapi.com/?i=tt0032553&h=600&apikey=7c8ba5e4
10,Toy Story,tt0114709,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0114709&h=600&apikey=7c8ba5e4
11,Up,tt1049413,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt1049413&h=600&apikey=7c8ba5e4
12,Toy Story 3,tt0435761,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0435761&h=600&apikey=7c8ba5e4
13,Amélie,tt0211915,"['Comedy', ' Romance']",http://img.omdbapi.com/?i=tt0211915&h=600&apikey=7c8ba5e4
14,Singin' in the Rain,tt0045152,"['Comedy', ' Musical', ' Romance']",http://img.omdbapi.com/?i=tt0045152&h=600&apikey=7c8ba5e4
15,The Sting,tt0070735,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0070735&h=600&apikey=7c8ba5e4
16,The Apartment,tt0053604,"['Comedy', ' Drama', ' Romance']",http://img.omdbapi.com/?i=tt0053604&h=600&apikey=7c8ba5e4
17,The Kid,tt0012349,"['Comedy', ' Drama', ' Family']",http://img.omdbapi.com/?i=tt0012349&h=600&apikey=7c8ba5e4
18,The Wolf of Wall Street,tt0993846,"['Biography', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0993846&h=600&apikey=7c8ba5e4
19,The Truman Show,tt0120382,"['Comedy', ' Drama']",http://img.omdbapi.com/?i=tt0120382&h=600&apikey=7c8ba5e4
20,Snatch,tt0208092,"['Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0208092&h=600&apikey=7c8ba5e4
21,Green Book,tt6966692,"['Biography', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt6966692&h=600&apikey=7c8ba5e4
22,Finding Nemo,tt0266543,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0266543&h=600&apikey=7c8ba5e4
23,Monty Python and the Holy Grail,tt0071853,"['Adventure', ' Comedy', ' Fantasy']",http://img.omdbapi.com/?i=tt0071853&h=600&apikey=7c8ba5e4
24,Some Like It Hot,tt0053291,"['Comedy', ' Music', ' Romance']",http://img.omdbapi.com/?i=tt0053291&h=600&apikey=7c8ba5e4
25,Klaus,tt4729430,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt4729430&h=600&apikey=7c8ba5e4
26,To Be or Not to Be,tt0035446,"['Comedy', ' Romance', ' War']",http://img.omdbapi.com/?i=tt0035446&h=600&apikey=7c8ba5e4
27,Zindagi Na Milegi Dobara,tt1562872,"['Comedy', ' Drama', ' Musical']",http://img.omdbapi.com/?i=tt1562872&h=600&apikey=7c8ba5e4
28,Sherlock Jr.,tt0015324,"['Action', ' Comedy', ' Romance']",http://img.omdbapi.com/?i=tt0015324&h=600&apikey=7c8ba5e4
29,It's Such a Beautiful Day,tt2396224,"['Animation', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt2396224&h=600&apikey=7c8ba5e4
30,Il Sorpasso,tt0056512,"['Comedy', ' Drama']",http://img.omdbapi.com/?i=tt0056512&h=600&apikey=7c8ba5e4
31,Jo Jeeta Wohi Sikandar,tt0104561,"['Comedy', ' Drama', ' Romance']",http://img.omdbapi.com/?i=tt0104561&h=600&apikey=7c8ba5e4
32,Guardians of the Galaxy Vol. 3,tt6791350,"['Action', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt6791350&h=600&apikey=7c8ba5e4
33,The Grand Budapest Hotel,tt2278388,"['Adventure', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt2278388&h=600&apikey=7c8ba5e4
34,The Big Lebowski,tt0118715,"['Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0118715&h=600&apikey=7c8ba5e4
35,Ratatouille,tt0382932,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0382932&h=600&apikey=7c8ba5e4
36,"Three Billboards Outside Ebbing, Missouri",tt5027774,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt5027774&h=600&apikey=7c8ba5e4
37,Inside Out,tt2096673,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt2096673&h=600&apikey=7c8ba5e4
38,Dead Poets Society,tt0097165,"['Comedy', ' Drama']",http://img.omdbapi.com/?i=tt0097165&h=600&apikey=7c8ba5e4
39,"Monsters, Inc.",tt0198781,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0198781&h=600&apikey=7c8ba5e4
40,"Lock, Stock and Two Smoking Barrels",tt0120735,"['Action', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0120735&h=600&apikey=7c8ba5e4
41,How to Train Your Dragon,tt0892769,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0892769&h=600&apikey=7c8ba5e4
42,The Iron Giant,tt0129167,"['Animation', ' Action', ' Adventure']",http://img.omdbapi.com/?i=tt0129167&h=600&apikey=7c8ba5e4
43,Paper Moon,tt0070510,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0070510&h=600&apikey=7c8ba5e4
44,It Happened One Night,tt0025316,"['Comedy', ' Romance']",http://img.omdbapi.com/?i=tt0025316&h=600&apikey=7c8ba5e4
45,Mary and Max,tt0978762,"['Animation', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt0978762&h=600&apikey=7c8ba5e4
46,Underground,tt0114787,"['Comedy', ' Drama', ' Fantasy']",http://img.omdbapi.com/?i=tt0114787&h=600&apikey=7c8ba5e4
47,Mr. Smith Goes to Washington,tt0031679,"['Comedy', ' Drama']",http://img.omdbapi.com/?i=tt0031679&h=600&apikey=7c8ba5e4
48,The General,tt0017925,"['Action', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt0017925&h=600&apikey=7c8ba5e4
49,The Gold Rush,tt0015864,"['Adventure', ' Comedy', ' Drama']",http://img.omdbapi.com/?i=tt0015864&h=600&apikey=7c8ba5e4
50,Time of the Gypsies,tt0097223,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0097223&h=600&apikey=7c8ba5e4
