,movie,imdb_id,genre,image_url
0,The Godfather,tt0068646,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0068646&h=600&apikey=7c8ba5e4
1,The Dark Knight,tt0468569,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0468569&h=600&apikey=7c8ba5e4
2,12 Angry Men,tt0050083,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0050083&h=600&apikey=7c8ba5e4
3,The Godfather Part II,tt0071562,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0071562&h=600&apikey=7c8ba5e4
4,Pulp Fiction,tt0110912,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0110912&h=600&apikey=7c8ba5e4
5,Kill Bill: The Whole Bloody Affair,tt6019206,"['Action', ' Crime', ' Thriller']",http://img.omdbapi.com/?i=tt6019206&h=600&apikey=7c8ba5e4
6,Goodfellas,tt0099685,"['Biography', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0099685&h=600&apikey=7c8ba5e4
7,Se7en,tt0114369,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt0114369&h=600&apikey=7c8ba5e4
8,The Silence of the Lambs,tt0102926,"['Crime', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt0102926&h=600&apikey=7c8ba5e4
9,The Green Mile,tt0120689,"['Crime', ' Drama', ' Fantasy']",http://img.omdbapi.com/?i=tt0120689&h=600&apikey=7c8ba5e4
10,The Departed,tt0407887,"['Crime', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt0407887&h=600&apikey=7c8ba5e4
11,Léon: The Professional,tt0110413,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0110413&h=600&apikey=7c8ba5e4
12,The Usual Suspects,tt0114814,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt0114814&h=600&apikey=7c8ba5e4
13,American History X,tt0120586,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0120586&h=600&apikey=7c8ba5e4
14,Joker,tt7286456,"['Crime', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt7286456&h=600&apikey=7c8ba5e4
15,Witness for the Prosecution,tt0051201,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt0051201&h=600&apikey=7c8ba5e4
16,Sardar Udham,tt10280296,"['Biography', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt10280296&h=600&apikey=7c8ba5e4
17,Black Friday,tt0400234,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0400234&h=600&apikey=7c8ba5e4
18,Heat,tt0113277,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0113277&h=600&apikey=7c8ba5e4
19,To Kill a Mockingbird,tt0056592,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0056592&h=600&apikey=7c8ba5e4
20,Reservoir Dogs,tt0105236,"['Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0105236&h=600&apikey=7c8ba5e4
21,A Clockwork Orange,tt0066921,"['Crime', ' Sci-Fi']",http://img.omdbapi.com/?i=tt0066921&h=600&apikey=7c8ba5e4
22,Scarface,tt0086250,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0086250&h=600&apikey=7c8ba5e4
23,Once Upon a Time in America,tt0087843,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0087843&h=600&apikey=7c8ba5e4
24,The Sting,tt0070735,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0070735&h=600&apikey=7c8ba5e4
25,Double Indemnity,tt0036775,"['Crime', ' Drama', ' Film-Noir']",http://img.omdbapi.com/?i=tt0036775&h=600&apikey=7c8ba5e4
26,A Brighter Summer Day,tt0101985,"['Crime', ' Drama', ' Romance']",http://img.omdbapi.com/?i=tt0101985&h=600&apikey=7c8ba5e4
27,The Wolf of Wall Street,tt0993846,"['Biography', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0993846&h=600&apikey=7c8ba5e4
28,Batman Begins,tt0372784,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0372784&h=600&apikey=7c8ba5e4
29,No Country for Old Men,tt0477348,"['Crime', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt0477348&h=600&apikey=7c8ba5e4
30,Taxi Driver,tt0075314,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0075314&h=600&apikey=7c8ba5e4
31,Snatch,tt0208092,"['Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0208092&h=600&apikey=7c8ba5e4
32,Kill Bill: Vol. 1,tt0266697,"['Action', ' Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0266697&h=600&apikey=7c8ba5e4
33,Casino,tt0112641,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0112641&h=600&apikey=7c8ba5e4
34,L.A. Confidential,tt0119488,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt0119488&h=600&apikey=7c8ba5e4
35,Dial M for Murder,tt0046912,"['Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0046912&h=600&apikey=7c8ba5e4
36,Drishyam 2,tt15501640,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt15501640&h=600&apikey=7c8ba5e4
37,Drishyam,tt4430212,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt4430212&h=600&apikey=7c8ba5e4
38,Z,tt0065234,"['Crime', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt0065234&h=600&apikey=7c8ba5e4
39,Andhadhun,tt8108198,"['Crime', ' Mystery', ' Thriller']",http://img.omdbapi.com/?i=tt8108198&h=600&apikey=7c8ba5e4
40,K.G.F: Chapter 1,tt7838252,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt7838252&h=600&apikey=7c8ba5e4
41,I Am a Fugitive from a Chain Gang,tt0023042,"['Crime', ' Drama', ' Film-Noir']",http://img.omdbapi.com/?i=tt0023042&h=600&apikey=7c8ba5e4
42,Prisoners,tt1392214,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt1392214&h=600&apikey=7c8ba5e4
43,The Grand Budapest Hotel,tt2278388,"['Adventure', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt2278388&h=600&apikey=7c8ba5e4
44,Catch Me If You Can,tt0264464,"['Biography', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0264464&h=600&apikey=7c8ba5e4
45,The Big Lebowski,tt0118715,"['Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0118715&h=600&apikey=7c8ba5e4
46,"Three Billboards Outside Ebbing, Missouri",tt5027774,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt5027774&h=600&apikey=7c8ba5e4
47,Fargo,tt0116282,"['Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0116282&h=600&apikey=7c8ba5e4
48,Memories of Murder,tt0353969,"['Crime', ' Drama', ' Mystery']",http://img.omdbapi.com/?i=tt0353969&h=600&apikey=7c8ba5e4
49,Spotlight,tt1895587,"['Biography', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt1895587&h=600&apikey=7c8ba5e4
50,"Lock, Stock and Two Smoking Barrels",tt0120735,"['Action', ' Comedy', ' Crime']",http://img.omdbapi.com/?i=tt0120735&h=600&apikey=7c8ba5e4
51,Cool Hand Luke,tt0061512,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0061512&h=600&apikey=7c8ba5e4
52,In the Name of the Father,tt0107207,"['Biography', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0107207&h=600&apikey=7c8ba5e4
53,On the Waterfront,tt0047296,"['Crime', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt0047296&h=600&apikey=7c8ba5e4
54,Paper Moon,tt0070510,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0070510&h=600&apikey=7c8ba5e4
55,The 400 Blows,tt0053198,"['Crime', ' Drama']",http://img.omdbapi.com/?i=tt0053198&h=600&apikey=7c8ba5e4
56,White Heat,tt0042041,"['Action', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0042041&h=600&apikey=7c8ba5e4
57,Rififi,tt0048021,"['Crime', ' Drama', ' Thriller']",http://img.omdbapi.com/?i=tt0048021&h=600&apikey=7c8ba5e4
58,Diabolique,tt0046911,"['Crime', ' Drama', ' Horror']",http://img.omdbapi.com/?i=tt0046911&h=600&apikey=7c8ba5e4
59,Time of the Gypsies,tt0097223,"['Comedy', ' Crime', ' Drama']",http://img.omdbapi.com/?i=tt0097223&h=600&apikey=7c8ba5e4
60,Zootopia,tt2948356,"['Animation', ' Adventure', ' Comedy']",http://img.omdbapi.com/?i=tt2948356&h=600&apikey=7c8ba5e4
61,Sin City,tt0401792,"['Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0401792&h=600&apikey=7c8ba5e4
62,Kill Bill: Vol. 2,tt0378194,"['Action', ' Crime', ' Thriller']",http://img.omdbapi.com/?i=tt0378194&h=600&apikey=7c8ba5e4
63,Slumdog Millionaire,tt1010048,"['Crime', ' Drama', ' Romance']",http://img.omdbapi.com/?i=tt1010048&h=600&apikey=7c8ba5e4
